tag,text
fashion,1244 524 443 322 1214 928 932 1236 1182 296 748 592 531 1089 1214 528 799 536 340 180 393 1090 528 443 524 439 71 1090 277 650 688 528 760 1089 562 485 746 815 754 301 670 258 1202 748 639 641 350 936 320 111 1227 785 1244 1189 559 359 932 650 801 180 630 799 1166 639 180 393 670 502 237 1190 455 1244 1000 88 393 1068 107 601 1249 1214 652 758 721 1014 1033 121 88 924 562 1060 182 606 238 639 932 183 531 651 460 1066 388 1238 1060 1246 741 1014 1033 274 620 428 1089 1068 1202 799 223 748 88 1097 1196 340 1144 801 282 1025 340 597 396 630 799 852 639 597 393 418 337 231 652 466 490 223 748 931 340 1097 1196 748 844 705 562 1066 370 388 748 639 601 651 291 90 241 386 64 1201 552 924 747 844 705 88 879 1050 592 531 1089 1214 1195 1070 88 358 873 180 1204 531 931 601 22 1090 337 1220 1089 562 485 88 923 201 510 931 186 516 828 879 844 1173 634 529 1063 865 340 1065 210 601 167 972 87 668 223 748 531 931 1066 388 393 844 524 87 597 340 840 511 764 623 972 679 1214 88 924 796 593 475 471 1066 388 931 1028 522 1050 340 1199 441 796 565 411 932 188 1096 1068 625 516 964 1214 1238 664 746 815 928 1089 562 485 1039 679 1214 296 773 162 652 831 563 355 723 123 269 340 14 1036 293 340 881 1014 32
fashion,512 1238 1089 932 1214 528 360 224 386 226 212 1098 435 195 1214 652 562 145 1214 652 606 168 639 386 1155 340 651 195 507 617 652 340 617 1089 388 652 948 1217 88 1239 226 641 658 107 88 501 512 355 528 776 627 602 515 348 350 527 112 401 340 1072 1165 1067 961 124 531 1089 1214 1202 606 839 507 689 772 1165 1202 88 1208 364 1077 891 531 105 501 88 1180 196 730 135 158 501 638 388 1233 806 512 742 639 743 384 389 208 1202 167 822 88 1025 1222 87 208 202 966 862 46 1036 743 435 1118 601 652 1067 997 1035 340 997 893 484 208 548 44 524 981 531 693 932 329 146 340 509 704 388 531 1150 340 25 601 241 262 1202 1068 693 1046 415 650 638 658 625 1215 250 348 150 340 876 601 88 885 270 208 1068 111 1146 827 358 672 670 1036 895 531 630 88 418 528 294 512 1247 418 892 380 1202 418 650 606 639 997 41 1026 944 418 528 105 759 995 440 1192 94 77 237 512 512 1238 66 42 507 1202 824 1156 88 748 841 340 849 639 1204 88 469 262 42 88 501 386 226 498 870 997 1221 398 421 340 1103 639 88 470 904 531 3 905 1230 340 295 211 528 348 617 1089 1214 606 999 358 731 639 524 87 378 88 393 752 662 88 221 95 88 17 309 317 1202 606 639 1172 849 88 216 95 899 378 1146 241 678 397 340 887 818
fashion,1214 1068 1225 531 517 108 1238 688 977 148 1066 388 241 882 1202 1225 645 879 107 1238 524 87 86 633 468 1021 836 257 358 1214 1089 262 241 65 526 1239 379 652 932 1112 524 701 507 500 469 470 340 799 223 469 111 1120 868 1204 1007 652 285 358 220 88 81 358 1050 241 288 748 639 1115 823 358 1243 354 1238 942 913 875 652 524 1197 168 1178 358 692 628 820 652 358 850 118 1190 975 1226 87 92 591 196 538 934 1161 1054 1011 196 384 1057 1244 562 1055 932 1141 715 1225 601 1244 159 629 105 470 802 1204 946 648 169 642 1244 174 816 1214 88 994 1144 340 1097 1196 87 588 687 665 135 156 917 402 652 663 635 340 419 1139 434 591 196 538 528 761 562 360 617 1089 1214 1068 1097 1196 652 23 932 1061 358 316 268 553 1244 336 14 730 418 837 64 1201 942 156 88 1097 1196 212 540 1081 340 88 938 87 161 352 1097 1196 994 1085 124 531 625 293 1202 340 381 385 929 949 528 524 223 748 562 1095 88 470 358 931 601 340 715 372 593 1001 1214 653 748 59 1132 340 485 1114 503 601 932 262 1041 748 639 36 821 358 264 562 616 652 562 524 744 1187 348 88 1098 156 388 748 1207 372 387 541 842 1021 223 748 53 931 812 507 340 507 1202 506 1202 349 1116 88 738 171 947 531 53 931 516 439 1145 107 715 206 1195 573 53 931 388 548 388 88 768 926 88 462 358 88 1250 88 357 1028 1117 255 1225 524 892 508 617 1042 340 267 437 531 51 151 780 1028 1102 340 572 375 88 924 528 1200 710 543 88 1098 156 388 88 316 268 424 390 1245 59 890 340 745 212 756 967 277 710 544 748 272 485 370 601 524 87 507 581 516 168 484 477 340 66 843 470 958 470 340 1050 88 677 670 563 470 652 59 853 340 1188 845 932 1090 888 7 340 810 531 240 452 753 340 88 1185 1154 1131 510 335 775 340 905 1230 812 132 745 384 1098 358 365 844 358 1016 798 47 66 880 431 470 524 797 59 1219 169 844 1204 381 486 1006 340 715 59 597 1195 1068 625 652 66 1240 1188 661 340 994 340 88 1098 282 156 591 37 340 38 1089 562 485 476 435 1217 607 715 1098 156 402 562 87 595 1050 595 707 531 753 489 470
fashion,949 158 507 340 507 1202 559 304 617 512 528 1048 570 715 1089 1214 531 652 535 779 1214 1238 273 1214 528 617 652 336 531 214 520 241 558 639 682 91 1014 1033 728 1214 277 167 43 1089 167 247 87 637 1005 358 262 819 277 1202 191 431 406 650 800 606 75 639 863 1202 1105 507 156 340 227 531 639 1215 299 617 882 930 835 1039 964 1214 1227 524 87 1187 1082 88 978 389 450 292 883 1089 562 485 1238 562 1039 1089 277 167 1226 340 747 158 1214 763 167 531 192 1216 1036 340 1187 119 291 90 88 1239 224 88 855 178 348 573 1202 195 1214 639 247 682 561 265 340 1214 593 598 580 1105 1193 1010 531 238 639 1089 562 485 1244 814 1059 1214 515 639 388 575 1188 682 561 266 1010 428 1089 651 810 170 88 308 512 583 1201 561 293 340 593 600 713 88 1089 1215 638 251 340 1037 277 167 524 948 1238 736
fashion,512 1238 1089 932 1214 528 360 224 386 226 212 1098 435 195 1214 652 562 145 1214 652 606 168 639 386 1155 340 651 195 507 617 652 340 617 1089 388 652 948 1217 88 1239 226 641 658 107 88 501 512 355 528 776 627 602 515 348 350 527 112 401 340 1072 1165 1067 961 124 531 1089 1214 1202 606 839 507 689 772 1165 1202 88 1208 364 1077 891 531 105 501 88 1180 196 730 135 158 501 638 388 1233 806 512 742 639 743 384 389 208 1202 167 822 88 1025 1222 87 208 202 966 862 46 1036 743 435 1118 601 652 1067 997 1035 340 997 893 484 208 548 44 524 981 531 693 932 329 146 340 509 704 388 531 1150 340 25 601 241 262 1202 1068 693 1046 415 650 638 658 625 1215 250 348 150 340 876 601 88 885 270 208 1068 111 1146 827 358 672 670 1036 895 531 630 88 418 528 294 512 1247 418 892 380 1202 418 650 606 639 997 41 1026 944 418 528 105 759 995 440 1192 94 77 237 512 512 1238 66 42 507 1202 824 1156 88 748 841 340 849 639 1204 88 469 262 42 88 501 386 226 498 870 997 1221 398 421 340 1103 639 88 470 904 531 3 905 1230 340 295 211 528 348 617 1089 1214 606 999 358 731 639 524 87 378 88 393 752 662 88 221 95 88 17 309 317 1202 606 639 1172 849 88 216 95 899 378 1146 241 678 397 340 887 818
fashion,512 159 360 636 123 531 1202 715 105 501 664 833 783 528 866 972 773 1077 512 1245 1044 170 1038 811 765 340 59 1125 388 790 1202 686 602 1202 715 270 130 340 639 340 459 778 715 270 134 393 87 774 1187 639 675 105 217 785 528 223 105 141 1215 848 48 153 531 262 1202 528 1105 507 227 241 1089 1215 562 683 670 512 340 747 238 639 512 1200 645 1036 193 340 1151 1238 1067 340 66 42 1113 1153 340 562 439 389 596 107 807 479 88 561 994 501 386 226 528 859 499 1248 118 470 528 113 507 904 720 531 3 531 905 1230 715 1071 340 88 295 506 730 626 974 830 132 531 129 111 942 261 340 643 384 996 277 914 562 524 948 736 747 1038 639 932 515 1237 1089 381 898 1200 1028 25 1068 625 639 632 877 1202 531 1014 208 715 517 504 386 1202 524 360 942 1036 340 170 1145 650 247 168 639 715 942 119 88 1003 932 142 868 1075 340 1181 1244 871 1002 1214 562 626 507 132 531 512 340 1244 562 1245 651 289 1244 562 974 145 1089 135 1214 637 262 1202 936 90 241 1244 88 550 1245 8 278 340 423 340 884 650 247 1004 963 247 817 1214 573 515 639 243 574 340 587 384 819 87 156 402 518 606 496 639 628 531 564 180 711 422 146 1208 603 340 1248 473 715 517 1238 87 194 1104 227 428 1089 277 1122 1202 684 1216 119 1089 650 562 982 1015 107 340 170 419 340 1037 212 88 515 639
fashion,512 159 487 688 84 639 418 949 994 340 1234 524 1207 591 491 1028 181 350 512 601 88 641 803 226 88 79 651 986 1028 515 771 1066 87 159 932 641 1041 512 1239 1044 384 602 932 262 1041 506 1202 972 512 771 69 87 179 262 561 994 512 688 943 932 156 196 951 88 259 156 512 524 666 571 88 1086 1040 688 976 964 1214 88 512 1054 358 282 524 1054 127 156 88 994 501 1054 507 295 770 512 87 1067 161 352 515 248 384 819 209 19 101 340 262 310 512 1059 694 1171 994 515 74 524 87 688 252 340 562 241 158 256 715 1239 833 506 847 866 353 515 639 340 839 651 680 566 358 212 231 1054 287 525 340 230 512 88 386 547 87 882 1036 340 665 507 1036 797 934 948 287 512 639 241 288 524 87 1234 994 551 795 1018 241 714 241 248 241 42 340 788 386 1202 159 524 168 942 992 1036 666 650 808 340 1068 625 1188 948 1217 326 632 105 301 670 457 119
fashion,512 313 90 490 88 561 293 510 1202 78 227 531 106 241 1089 1215 87 515 590 512 943 932 904 418 533 658 625 293 561 630 781 688 302 670 1089 123 418 646 980 665 312 1239 1077 88 621 512 590 516 113 1214 65 288 340 526 606 782 639 1215 972 512 1068 625 386 1202 1083 942 362 612 759 1214 512 1239 375 241 1089 1215 87 1234 567 747 252 639 515 479 562 972 973 972 512 418 776 487 601 89 557 942 992 1036 874 119 340 606 639 418 528 732
fashion,512 682 630 1201 418 651 1245 651 301 670 309 907 340 375 601 1066 282 512 301 670 410 456 88 994 293 1202 866 562 683 670 512 652 1182 715 470 779 1214 1189 87 640 715 773 512 212 1223 336 1214 512 1054 340 356 531 429 1089 562 485 528 388 790 676 664 639 1068 388 234 1242 340 1178 670 513 639 997 514 1122 512 87 942 426 418 1059 1214 512 878 651 444 1087 340 15 1238 562 1066 512 487 934 715 948 779 1214 506 1202 374 602 1036 688 90 336 617 1068 107 388 260 403 1238 338 638 1005 88 658 1014 208 91 417 241 225 163 247 87 1234 602 340 994 167 562 524 170 1030 340 582 791 168 639 241 868 562 1066 851 651 247 87 733 241 65 111 685 639 715 867 167 524 638 970 277 167 349 88 908 358 608 400 1089 972 638 1037 340 589 573 1202 1028 289 512 652 159 1029 657 156 340 562 683 670 512 1122 512 87 507 425 642 652 88 389 1089 1034 1066 282 972 512 528 562 247 299 528 1089 135 1214 528 637
fashion,1054 1068 774 242 639 675 105 217 1238 338 1214 402 1202 562 336 167 652 1048 617 167 715 130 340 665 715 639 402 167 113 1202 637 88 347 252 417 699 167 998 625 1152 44 340 545 1202 640 88 1032 234 340 852 1178 157 449 736 166 88 908 358 506 262 300 1238 1060 605 601 245 449 1238 1066 87 241 65 1202 975 512 645 243 507 340 997 381 625 293 531 950 226 654 158 281 23 932 639 340 9 601 59 1089 512 124 531 561 169 272 1084 340 212 446 506 1202 155 1105 227 932 1194 387 515 340 972 994 1077 428 1089 652 562 168 107 418 652 610 1095 241 1089 1215 1004 1106 630 350 296 1239 433 35 1202 299 618 362 381 119 340 283 281 641 107 418 528 1083 866 87 515 1238 561 407 507 639 346 732 241 515 740 340 347 1162 513 601 562 241 897 293 168 1213 515 107 167 912 170 979 340 194 1089 562 485 960 515 363 554 66 1214 688 976 856 283 87 782 531 1202 932 622 295 358 45 1244 1067 263 1214 835 307 88 85 512 340 1214 593 598 983 88 1089 1215 972 651 105 156 1244 562 113 598 580 88 748 252 515 712 418 1207 591 491 181 350 512 340 167 87 170 586 606 650 1244 1 1123 1214 593 600 1187 1204 1217 948 408 340 1124 88 639 418 606 1244 799 361 88 107 1187 393 418 599 562 181 350 512 1204 155 1105 227 866 154 158 143 1244
sport,1017 343 66 919 88 561 293 507 1202 314 1017 88 561 1042 652 1189 87 327 1017 1187 1026 241 68 989 1045 715 517 504 1017 90 241 327 836 941 156 1017 223 1202 962 340 203 507 872 573 1202 825 1156 88 1009 262 799 981 652 715 1073 351 1214 1198 838 750 777 1156 88 1164 315 1215 87 327 1202 829 384 315 715 383 340 26 223 190 1147 262 343 88 1176 29 144 1078
